source,target,matrix_count,matrices
Prey Availability,Snapper/ Grouper Pop,1,StPete
Price of fish,Price of allocation,1,PanamaCity
Primary Produciton,Prey Avail Pinfish Abundance,1,Group1
Real Estate Value and Sales,Rec Fishing Opportunities,1,PineIsl
Rec and Com Fishing,Fishing Effort,1,Group1
Rec and Com Fishing,Funding Data Collection,1,Group1
Rec Fishing Opportunities,Community Impacts,1,PineIsl
Rec Landings (Unknown),Grouper Landings,1,PineIsl
Recreational quota overage,Fishing mortality,1,PanamaCity
Recruitment,Population Size,1,Group1
Recruitment,Snapper & Grouper,1,Madeira
Red Snapper Juveniles,Adult and Juvenile Mortality,1,Group1
Red Tide,Adult and Juvenile Mortality,1,Group1
Red Tide,Adult Distribution,1,Group1
Red Tide,Fish Dist,1,StPete
Red Tide,Fishing Effort,1,Group1
Red Tide,Habitat Condition,1,Madeira
Red Tide,Location of Fishing,1,Madeira
Red Tide,M (0.2),1,StPete
Red Tide,Predators Sharks and Lionfish1,1,Group1
Red Tide,Predators Sharks and Lionfish2,1,Group1
Red Tide,Prey Avail Pinfish Abundance,1,Group1
Red Tide,Regulations,1,Madeira
Red Tide,Snapper & Grouper,1,Madeira
Red Tide,Snook and Red Fish,1,Madeira
Red Tide,Tourism Social Media,1,Madeira
Red Tide,Water Quality,2,Group1; PineIsl
Regulations,Fishing Efficiency,1,Madeira
Regulations,Fishing Participation,1,Madeira
Regulations,IFQ Permit Costs,1,Madeira
Regulatory Complexity,Fishing Efficiency,1,PineIsl
Reproductive Output,Strong year class recruit,1,StPete
Revenue,Exit fishery or part time fishing,1,PineIsl
Sahara Dust,Red Tide,1,PineIsl
Season length (recreation),Discard mortality,1,PanamaCity
Season length (recreation),Local culture/heritage (fishing during weekends),1,PanamaCity
Season length (recreation),Tourism,1,PanamaCity
"Seasons, Areas Licenses",Fishing Pressure,1,StPete
"Seasons, Areas Licenses",Tourism,1,StPete
Severity of penalty,Compliance rate,1,PanamaCity
Sewage,Water Quality,1,Madeira
Shark fecundity,Shark Population Abundance,1,PanamaCity
Shark harvest,Hook size,1,PanamaCity
Shark harvest,Turtle bycatch,1,PanamaCity
Shark Populaiton,Fishing Efficiency,1,PineIsl
Shark Population Abundance,Gear loss,1,PanamaCity
Shark Population Abundance,Shark bites,1,PanamaCity
Shark Population Abundance,Shark fecundity,1,PanamaCity
Shark Population Abundance,Snapper/Grouper Population,1,PanamaCity
Shrimp Bycatch,Red Snapper Juveniles,1,Group1
Shrimping (trawling),Adult Habitat,1,StPete
Shrimping (trawling),F,1,StPete
Snapper & Grouper,Fishing Participation,1,Madeira
Snapper & Grouper,Regulations,1,Madeira
Snapper & Grouper,Target Species,1,Madeira
Snapper Population,Discard Mortality,1,PineIsl
Snapper Population,Fishing Efficiency,1,PineIsl
Snapper/Grouper Population,Price of allocation,1,PanamaCity
Snapper/Grouper Population,Shark fecundity,1,PanamaCity
Snook and Red Fish,Target Species,1,Madeira
Strong year class recruit,Snapper/ Grouper Pop,1,StPete
Target Species,Fishing Effort,1,Madeira
